year; 			province; 					male; 	female;  	 
2007 to 2009 ; Canada; 						79; 	83;
2007 to 2009 ; Newfoundland and Labrador; 	77; 	81;
2007 to 2009 ; Prince Edward Island; 		78; 	83;
2007 to 2009 ; Nova Scotia; 				78; 	82;
2007 to 2009 ; New Brunswick; 				78; 	83;
2007 to 2009 ; Quebec; 						79; 	83;
2007 to 2009 ; Ontario; 					79; 	84;
2007 to 2009 ; Manitoba; 					77; 	82;
2007 to 2009 ; Saskatchewan; 				77; 	82;
2007 to 2009 ; Alberta; 					79; 	83;
2007 to 2009 ; British Columbia; 			80; 	84;
